Gender,Woman
,
Row Labels,Count of Did you receive information about the CCM computing programs from any of the following sources? [CCM Workforce Development]
Don't recall,6.45%
No,87.10%
Yes,6.45%
(blank),0.00%
Grand Total,100.00%
