How did you hear about County College of Morris? [High School Teacher],No,,
,,,
Row Labels,Count of How did you hear about County College of Morris? [High School Teacher],Interest Level,Interest * Total Students
2,2,2,4
3,9,3,27
4,8,4,32
5,6,5,30
Grand Total,25,Average Interest,3.72
